seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gravity_z,gravity_y,gravity_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,watchBarometer_relativeAltitude,watchBarometer_pressure,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,barometer_relativeAltitude,barometer_pressure,accelerometer_z,accelerometer_y,accelerometer_x,heartRate_bpm,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ
20.000000,0.000174,0.000069,-0.000181,-8.551103,-0.519546,-4.772745,-921.967447,-264.799914,-48.684039,-178.773063,-44.939890,-53.147582,-0.002887,-0.000450,0.002139,0.150001,100.897728,0.520929,-0.089603,-0.242697,-0.509074,-0.936527,0.236615,0.053004,-0.872413,-0.053233,-0.487384,0.174393,1009.331818,-0.004762,-0.001588,-0.007319,,0.017561,-0.000261,0.014426,-0.818035,0.526478,0.229707,-0.003032,-0.000338,-0.000543,0.617696,-0.483621,-0.617166,-0.057520
21.000000,0.000186,0.000191,-0.000058,-8.551850,-0.517159,-4.771665,-921.992861,-264.941575,-48.431819,-178.796720,-45.072055,-52.898587,-0.002888,-0.000426,0.002059,,,0.521003,-0.089481,-0.242768,-0.508941,-0.936529,0.236580,0.052760,-0.872504,-0.053029,-0.487234,,,-0.004565,-0.002705,-0.006109,95.000000,0.003460,0.003016,-0.002136,-0.826846,0.519870,0.214586,-0.002480,0.000010,-0.005283,0.623275,-0.481052,-0.613091,-0.065066
22.000000,0.000053,0.000063,0.000015,-8.552220,-0.517448,-4.770972,-922.257750,-264.820278,-48.392232,-179.071808,-44.955514,-52.860602,-0.002986,-0.000532,0.002261,,,0.521094,-0.089496,-0.242811,-0.508860,-0.936528,0.236535,0.052789,-0.872543,-0.053106,-0.487133,0.182320,1009.330978,-0.004540,-0.003508,-0.006578,95.000000,0.000319,0.001500,0.002343,-0.828624,0.519829,0.207744,-0.001432,0.000382,-0.001438,0.625942,-0.479482,-0.611529,-0.065759
23.000000,0.000185,0.000064,0.000072,-8.552232,-0.517324,-4.770964,-922.064585,-264.778740,-48.448648,-178.868614,-44.909996,-52.903529,-0.002788,-0.000578,0.002216,0.160000,100.898010,0.521206,-0.089503,-0.242865,-0.508859,-0.936514,0.236531,0.052777,-0.872542,-0.052934,-0.487258,0.195530,1009.329147,-0.004728,-0.001420,-0.006904,,-0.001967,-0.003751,-0.000870,-0.828516,0.520340,0.206898,-0.001295,0.000252,-0.001126,0.626340,-0.479026,-0.611542,-0.065185
24.000000,0.000096,-0.000036,-0.000058,-8.551631,-0.516438,-4.772137,-922.230240,-264.769171,-48.448678,-179.043340,-44.900160,-52.910139,-0.002756,-0.000656,0.002244,,,0.521301,-0.089489,-0.242914,-0.508994,-0.936485,0.236601,0.052686,-0.872482,-0.053062,-0.487242,0.208744,1009.327850,-0.004362,-0.004053,-0.005980,,-0.001721,-0.000428,0.001762,-0.828036,0.520887,0.207441,-0.001104,0.000555,-0.000507,0.626111,-0.479722,-0.611218,-0.065305
25.000000,-0.000075,-0.000095,-0.000089,-8.551952,-0.514954,-4.771722,-922.234035,-264.826263,-48.291139,-179.040135,-44.958961,-52.744296,-0.002897,-0.000546,0.002065,0.190001,100.897911,0.521351,-0.089417,-0.242959,-0.508941,-0.936482,0.236593,0.052535,-0.872435,-0.053017,-0.487189,0.221954,1009.326172,-0.003946,-0.005413,-0.005841,,-0.000838,-0.004837,-0.001110,-0.827849,0.520520,0.209102,-0.000962,0.000588,-0.000881,0.625479,-0.479689,-0.611923,-0.065001
26.000000,-0.000178,-0.000405,0.000119,-8.550854,-0.515941,-4.773582,-922.071230,-264.794987,-48.280961,-178.884406,-44.922655,-52.741988,-0.003003,-0.000797,0.002269,,,0.521247,-0.089479,-0.242888,-0.509161,-0.936471,0.236688,0.052636,-0.872491,-0.053073,-0.487396,0.235165,1009.324722,-0.006317,-0.004756,-0.006685,,-0.002366,-0.006476,0.001267,-0.827362,0.520254,0.211669,-0.000947,0.000413,-0.000509,0.624466,-0.480189,-0.612578,-0.064865
27.000000,0.000091,0.000171,-0.000022,-8.550214,-0.516483,-4.774669,-922.125317,-264.851163,-48.338626,-178.930230,-44.983039,-52.796114,-0.002847,-0.000249,0.002225,,,0.521136,-0.089507,-0.242823,-0.509290,-0.936470,0.236746,0.052691,-0.872492,-0.053118,-0.487417,0.235165,1009.324722,-0.005884,-0.004515,-0.006370,,-0.095437,0.018480,-0.018376,-0.828361,0.518936,0.210366,-0.008396,0.002133,-0.006557,0.624666,-0.481010,-0.611363,-0.067014
28.000000,-0.000032,-0.000339,-0.000535,-8.540123,-0.518614,-4.792421,-921.938517,-265.076034,-48.776411,-178.984882,-45.170963,-53.197419,-0.003087,-0.001205,0.001804,0.220000,100.897293,0.520617,-0.089800,-0.242460,-0.511375,-0.936290,0.237718,0.052909,-0.871355,-0.053444,-0.489259,0.224598,1009.325943,-0.004298,-0.005698,-0.004929,,-0.093868,-0.013428,0.039766,-0.818015,0.474667,0.324046,0.004953,0.001904,-0.001724,0.565973,-0.557617,-0.592385,-0.131977
29.000000,0.000626,-0.000127,-0.000097,-8.549501,-0.511065,-4.776529,-921.672022,-264.991128,-48.551224,-179.103257,-45.011971,-52.844483,-0.002277,-0.000575,0.002101,,,0.521174,-0.089278,-0.242901,-0.509491,-0.936431,0.236910,0.052138,-0.872370,-0.052442,-0.487608,0.224598,1009.325943,-0.005249,-0.004407,-0.005629,,0.015962,-0.001503,0.000781,-0.814143,0.497590,0.299264,-0.004108,0.002044,-0.008142,0.581552,-0.541092,-0.597368,-0.110279
