time,seconds_elapsed,relativeAltitude,pressure
1727317905755502300,87.40250244140626,7.694435119628906,1005.6976318359375
1727317906826961200,88.47396118164062,6.566165924072266,1005.8323669433594
1727317907898376200,89.54537622070312,5.945220947265625,1005.9062957763672
1727317908969766400,90.61676635742188,5.945220947265625,1005.9062957763672
1727317910041165300,91.68816528320312,5.955791473388672,1005.9052276611328
1727317911112550100,92.75955004882813,5.955791473388672,1005.9052276611328
1727317912183933200,93.83093310546874,5.65985107421875,1005.9404754638672
1727317913255272400,94.9022724609375,3.6622581481933594,1006.1789703369141
1727317914326589400,95.97358935546875,3.6622581481933594,1006.1789703369141
1727317915397962200,97.04496215820312,3.6543312072753906,1006.1799621582031
1727317916469331200,98.11633129882813,3.6543312072753906,1006.1799621582031
1727317917540664300,99.18766430664063,2.737445831298828,1006.2895965576172
1727317918612035300,100.25903540039063,2.73480224609375,1006.2898254394531
1727317919683404300,101.330404296875,2.73480224609375,1006.2898254394531
1727317920754770200,102.40177026367188,2.73480224609375,1006.2898254394531
1727317921826161400,103.47316137695313,2.864276885986328,1006.2744903564453
1727317922897516300,104.54451635742187,4.494586944580078,1006.0797119140625
1727317923968893200,105.61589306640624,5.435253143310547,1005.9674072265625
1727317925040197400,106.687197265625,5.435253143310547,1005.9674072265625
1727317926111535400,107.75853540039063,5.4246826171875,1005.9686279296875
1727317927182901500,108.82990161132813,4.690120697021484,1006.0561370849609
1727317928254257200,109.90125708007812,3.7811622619628906,1006.1648559570312
1727317929325636400,110.97263623046875,2.3358116149902344,1006.3375091552734
1727317930397002200,112.04400219726563,1.0859947204589844,1006.4869689941406
1727317931468343300,113.11534326171875,1.0859947204589844,1006.4869689941406
1727317932539709400,114.18670947265625,0.9987983703613281,1006.4974212646484
1727317933611028200,115.2580283203125,1.2471771240234375,1006.4677429199219
1727317934682312200,116.32931225585938,1.3026657104492188,1006.4610290527344
1727317935753663200,117.40066333007813,1.6567344665527344,1006.4186859130859
1727317936825029400,118.472029296875,1.6567344665527344,1006.4186859130859
1727317937896387300,119.54338720703124,1.0569305419921875,1006.4902496337891
1727317938967754200,120.61475415039062,0.7900543212890625,1006.522216796875
1727317940039090400,121.68609033203126,0.5971641540527344,1006.54541015625
1727317941110424300,122.75742431640624,0.2827301025390625,1006.5829467773438
1727317942181790500,123.82879052734376,0.042278289794921875,1006.6114807128906
1727317943253124400,124.90012426757812,-0.2378082275390625,1006.6452026367188
1727317944324472000,125.97147216796876,-0.412200927734375,1006.6658020019531
1727317945395835400,127.04283544921876,-0.5099678039550781,1006.6774749755859
1727317946467197200,128.114197265625,-0.5099678039550781,1006.6774749755859
1727317947538549200,129.18554931640625,-0.4412651062011719,1006.6692352294922
